name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group
ART OF FIGHTING ANTHOLOGY,PS2,2006,Fighting,0.02,0.02,0.0,0.01,60.0,70.0,T,0.05,Playstation
FORD BOLD MOVES STREET RACING,PSP,2006,Racing,0.04,0.0,0.0,0.0,52.0,75.0,E,0.04,Playstation
SÉBASTIEN LOEB RALLY EVO,PS4,2016,Racing,0.0,0.04,0.0,0.01,71.0,81.0,E,0.05,Playstation
THE TALE OF DESPEREAUX,Wii,2008,Platform,0.04,0.0,0.0,0.0,71.0,75.0,E10+,0.04,Nintendo
LUX-PAIN,DS,2008,Adventure,0.04,0.0,0.0,0.0,48.0,62.0,T,0.04,Nintendo
RAPALA TROPHIES,PSP,2006,Sports,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Playstation
PHOENIX WRIGHT REVIVED TURNABOUT,DS,2008,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
MANA KHEMIA ALCHEMISTS OF AL-REVIS (JP SALES),PS2,2007,Role-Playing,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
ACTIVE LIFE MAGICAL CARNIVAL,Wii,2011,Misc,0.03,0.01,0.0,0.0,71.0,75.0,E,0.04,Nintendo
NATIONAL GEOGRAPHIC PANDA (US SALES),DS,2008,Simulation,0.04,0.0,0.0,0.0,71.0,75.0,,0.04,Nintendo
THE HUSTLE DETROIT STREETS,PS2,2006,Sports,0.02,0.02,0.0,0.01,46.0,75.0,T,0.05,Playstation
TOMOYO AFTER IT'S A WONDERFUL LIFE CS EDITION,PSP,2009,Adventure,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
VIRTUA FIGHTER CG PORTRAIT SERIES VOL6 LAU CHAN,SAT,1995,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Other
GUILTY GEAR XX ACCENT CORE,PS2,2007,Fighting,0.0,0.0,0.04,0.0,77.0,83.0,T,0.04,Playstation
NIHON PRO MAHJONG KISHIKAI KANSHUU PRO NI NARU MAHJONG DS,DS,2005,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
CHEER WE GO!,DS,2010,Misc,0.04,0.0,0.0,0.0,71.0,75.0,,0.04,Nintendo
MONSTER HIGH NEW GHOUL IN SCHOOL,3DS,2015,Action,0.0,0.04,0.0,0.0,71.0,75.0,E,0.04,Nintendo
MILLIPEDE / SUPER BREAKOUT / LUNAR LANDER,GBA,2005,Misc,0.03,0.01,0.0,0.0,71.0,75.0,E,0.04,Nintendo
GREY'S ANATOMY THE VIDEO GAME,DS,2009,Adventure,0.03,0.01,0.0,0.0,71.0,75.0,T,0.04,Nintendo
MAFIA,PC,2002,Action,0.0,0.04,0.0,0.01,88.0,91.0,M,0.05,PC
DISNEY'S DONALD DUCK GOIN' QUACKERS,GC,2002,Platform,0.03,0.01,0.0,0.0,61.0,30.0,E,0.04,Nintendo
WORLD TRIGGER BORDERLESS MISSION,PSV,2015,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
ASSAULT RIGS,PS,1996,Action,0.02,0.02,0.0,0.0,71.0,75.0,,0.04,Playstation
YES! PRECURE 5,DS,2007,Action,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
OPERATION FLASHPOINT ELITE,XB,2005,Shooter,0.03,0.01,0.0,0.0,64.0,83.0,T,0.04,Xbox
CANDACE KANE'S CANDY FACTORY,DS,2008,Action,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
FANTASTIC FOUR RISE OF THE SILVER SURFER,DS,2007,Action,0.04,0.0,0.0,0.0,35.0,48.0,E10+,0.04,Nintendo
NANDA'S ISLAND,DS,2009,Puzzle,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
VIRTUA TENNIS 3,X360,2007,Sports,0.03,0.01,0.0,0.0,80.0,68.0,E,0.04,Xbox
